rank,id,marketplaceAddress,transactionHash,buyer,buyerDisplay,seller,sellerDisplay,price,priceUSD,imageURI,tokens/0/tokenId,tokens/0/address,tokens/0/attributes/Season,tokens/0/attributes/Name,tokens/0/attributes/Gender,tokens/0/attributes/Image,tokens/0/attributes/Hair,tokens/0/attributes/Beard,tokens/0/attributes/Lips,tokens/0/attributes/Mouth,tokens/0/attributes/Eyes,tokens/0/attributes/Neck,tokens/0/attributes/Face,tokens/0/attributes/Nose,tokens/0/attributes/Cheeks,tokens/0/attributes/Ears,tokens/0/attributes/Teeth,tokens/0/attributes/Emotion,tokens/0/attributes/MasterMint#,tokens/0/name,tokens/0/value,tokens/0/multiTokenId,timeStamp,paymentToken,marketplaceIcon,marketplaceName,tokens/0/attributes/Type,tokens/0/attributes/Accessories,tokens/0/attributes/Hats/Hair,tokens/0/attributes/name,tokens/0/attributes/image,tokens/0/attributes/background,tokens/0/attributes/body,tokens/0/attributes/Feathers,tokens/0/attributes/x_debug[0],tokens/0/attributes/eyes,tokens/0/attributes/Beak,tokens/0/attributes/Headwear,tokens/0/attributes/Background,tokens/0/attributes/clothes,tokens/0/attributes/mouth,tokens/0/attributes/Fur,tokens/0/attributes/Earring,tokens/0/attributes/Hat,tokens/0/attributes/dna,tokens/0/attributes/Eye Color,tokens/0/attributes/Back,tokens/0/attributes/Clothing,tokens/0/attributes/Symbolscheme,tokens/0/attributes/Special,tokens/0/attributes/Ear,tokens/0/attributes/Offhand,tokens/0/attributes/Project,tokens/0/attributes/Feature1,tokens/0/attributes/Feature2,tokens/0/attributes/Feature3,tokens/0/attributes/Feature4,tokens/0/attributes/Feature5,tokens/0/attributes/Feature6,tokens/0/attributes/Feature7,tokens/0/attributes/Feature8,tokens/0/attributes/Feature9,tokens/0/attributes/Feature10,tokens/0/attributes/Trait1,tokens/0/attributes/Trait2,tokens/0/attributes/Trait3,tokens/0/attributes/Trait4,tokens/0/attributes/Trait5,tokens/0/attributes/Trait6,tokens/0/attributes/Trait7,tokens/0/attributes/Trait8,tokens/0/attributes/Trait9,tokens/0/attributes/CurationStatus,tokens/0/attributes/Series,tokens/0/attributes/Class,tokens/0/attributes/Species,tokens/0/attributes/Talent,tokens/0/attributes/Feet,tokens/0/attributes/Left Arm,tokens/0/attributes/Legs,tokens/0/attributes/Right Arm,tokens/0/attributes/Sleeves,tokens/0/attributes/Upper Body,tokens/0/attributes/Headgear,tokens/0/attributes/face,tokens/0/attributes/head,tokens/0/attributes/Description,tokens/0/attributes/Clothes,tokens/0/attributes/Accessory,tokens/0/attributes/AttributesCount
1,6256f3225b8421f7793419ab,0xb47e3cd837ddf8e4c57f05d70ab865de6e193bbb,0x12414ca0ebc399276e99f05260e16fb31afc4f34988d4d9406b56524e4c03828,0x362cd3f6eec0f6ec2d0b5865c8108f89477b1e24,0x362cd3f6eec0f6ec2d0b5865c8108f89477b1e24,0x6f35b0cfc58eb1e21eef8a439bbb0ce4c929d32a,0x6f35b0cfc58eb1e21eef8a439bbb0ce4c929d32a,1050,3253734.832956132,https://d35vxokfjoq7rk.cloudfront.net/0xb47e3cd837ddf8e4c57f05d70ab865de6e193bbb/7756.png?d=66,7756,0xb47e3cd837ddf8e4c57f05d70ab865de6e193bbb,All,CryptoPunk 7756,Zombie,https://www.larvalabs.com/public/images/cryptopunks/punk7756.png,Do-rag,Shadow Beard,,,Horned Rim Glasses,,,,,,,,7754,,,,2022-04-13T15:58:07Z,ETH,https://cryptoslam-token-images.s3.amazonaws.com/icons/cryptopunks-logo.png,CryptoPunks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,62611a9e5b842106c81b2266,0x59728544b08ab483533076417fbbb2fd0b17ce3a,0x3300db2688ef001b8c0a7bb6096e1cd7aec1b824aee66556451ed262b541aae6,0x8043c9f1b26fbea7458c812ae2c6e84c642b8422,0x8043c9f1b26fbea7458c812ae2c6e84c642b8422,0xa445c511bbcc8cf71c7737d7d0315180fefa23c9,0xa445c511bbcc8cf71c7737d7d0315180fefa23c9,727,2252338.302305425,https://d35vxokfjoq7rk.cloudfront.net/0x031920cc2d9f5c10b444fd44009cd64f829e7be2/19887.png?d=66,19887,0x031920cc2d9f5c10b444fd44009cd64f829e7be2,All,Zunk 19887,Male,,,Normal Beard,,,Big Shades,,,,,,,,9888,,,,2022-04-21T08:49:01Z,WETH,https://cryptoslam-token-images.s3.amazonaws.com/icons/looksrare.png,LooksRare,Human,Spots,Vampire Hair,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,6249d2ae5b842165c943c804,0xb47e3cd837ddf8e4c57f05d70ab865de6e193bbb,0x54dacddaaec15dcae5e312de39049c0ba8077c3685fed0fa9de427ec30811b34,0x2503e93fbb53fe9821630746a4070bec2f7d496d,0x2503e93fbb53fe9821630746a4070bec2f7d496d,0xf4b4a58974524e183c275f3c6ea895bc2368e738,0xf4b4a58974524e183c275f3c6ea895bc2368e738,450,1570895.0959182614,https://d35vxokfjoq7rk.cloudfront.net/0xb47e3cd837ddf8e4c57f05d70ab865de6e193bbb/8865.png?d=66,8865,0xb47e3cd837ddf8e4c57f05d70ab865de6e193bbb,All,CryptoPunk 8865,Male,https://www.larvalabs.com/public/images/cryptopunks/punk8865.png,Beanie,,,,Horned Rim Glasses,,,,,,,,8863,,,,2022-04-03T16:59:53Z,ETH,https://cryptoslam-token-images.s3.amazonaws.com/icons/cryptopunks-logo.png,CryptoPunks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,,0x7f268357a8c2552623316e2562d90e642bb538e5,0xc6286e748f7493460101f93ab7c9445ac632b0736db280889d9159aed767d9ff,0x7A9fe22691c811ea339D9B73150e6911a5343DcA,0x7A9fe22691c811ea339D9B73150e6911a5343DcA,0xeeDb03267D72Dcb854ee0C0e902E3627BfA2cDB9,0xeeDb03267D72Dcb854ee0C0e902E3627BfA2cDB9,350,1037434.4375,https://live---metadata-5covpqijaa-uc.a.run.app/images/2642,2642,,,,,,,,,,,,,,,,,,,,,,2022-04-23T15:22:03,ETH,https://cryptoslam-token-images.s3.amazonaws.com/icons/opensea-logo.png,OpenSea,,,,#2642,https://live---metadata-5covpqijaa-uc.a.run.app/images/2642,Jade Green,Jade,Legendary Sage,orig:9450,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,,0x7f268357a8c2552623316e2562d90e642bb538e5,0x66b71655c296e5c7e91dbefd2399153e01395e98b4c310adb04921d32ea42de5,0x79d4D03FCDBb9B9152F3f8E6fFf2a8052fedFb83,0x79d4D03FCDBb9B9152F3f8E6fFf2a8052fedFb83,0x7BeF8662356116cb436429F47e53322B711F4E42,0x7BeF8662356116cb436429F47e53322B711F4E42,305,902450.625,https://live---metadata-5covpqijaa-uc.a.run.app/images/3904,3904,,,,,,,,,,,,,,,,,,,,,,2022-04-23T17:34:47,ETH,https://cryptoslam-token-images.s3.amazonaws.com/icons/opensea-logo.png,OpenSea,,,,#3904,https://live---metadata-5covpqijaa-uc.a.run.app/images/3904,Enlightened Purple,Enlightened,Legendary Crescent,orig:4637,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,,0x7f268357a8c2552623316e2562d90e642bb538e5,0x007ae34229f52f567023c0a327d41a060026d1400fce6542643529ac24b99f69,0x79d4D03FCDBb9B9152F3f8E6fFf2a8052fedFb83,0x79d4D03FCDBb9B9152F3f8E6fFf2a8052fedFb83,0xf3188C26c0f665f3A20DDF65af4f8F1Eae5b2907,0xf3188C26c0f665f3A20DDF65af4f8F1Eae5b2907,299,885117.8125,https://live---metadata-5covpqijaa-uc.a.run.app/images/5602,5602,,,,,,,,,,,,,,,,,,,,,,2022-04-23T17:48:25,ETH,https://cryptoslam-token-images.s3.amazonaws.com/icons/opensea-logo.png,OpenSea,,,,#5602,https://live---metadata-5covpqijaa-uc.a.run.app/images/5602,Purple,golden,Legendary Crescent,orig:1470,Angry,small,Queen's Crown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,,0x7f268357a8c2552623316e2562d90e642bb538e5,0x381393e676b84b57689ba8b6307c828137212600d20f82823f5703ce6e9b59b4,0x5D4e49EeE18B3Eb6dc5320651d00b40dB83A5B4e,0x5D4e49EeE18B3Eb6dc5320651d00b40dB83A5B4e,0x0a9BF8ACBDFD96d491d6CF80B2D45B52A9706935,0x0a9BF8ACBDFD96d491d6CF80B2D45B52A9706935,245,797703.0625,https://ipfs.cryptoslam.io/ipfs/QmNMAsXWtQS7nLwLw44oLdDWewqYscisR25YL3taRDkkFh,5149,,,,,,,,,,Sleepy,,,,,,,,,,,,2022-04-10T12:22:13,ETH,https://cryptoslam-token-images.s3.amazonaws.com/icons/opensea-logo.png,OpenSea,,,,,https://ipfs.cryptoslam.io/ipfs/QmNMAsXWtQS7nLwLw44oLdDWewqYscisR25YL3taRDkkFh,,,,,,,,Orange,Black T,Grin,Pink,Diamond Stud,Bayc Flipped Brim,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,6259744a5b84215bec4560d2,0xb47e3cd837ddf8e4c57f05d70ab865de6e193bbb,0x8ee87d98a80b85e00fe33a52fa5bfe2e9ce72a3ccffe9f08f206af12959741c5,0x85e59a136696fa544714eb32625f2f56f3b1c96d,0x85e59a136696fa544714eb32625f2f56f3b1c96d,0x5df5078ae2e65f05874e57929ca50e0ac689b378,0x5df5078ae2e65f05874e57929ca50e0ac689b378,250,756215.754064885,https://d35vxokfjoq7rk.cloudfront.net/0xb47e3cd837ddf8e4c57f05d70ab865de6e193bbb/416.png?d=66,416,0xb47e3cd837ddf8e4c57f05d70ab865de6e193bbb,All,CryptoPunk 416,Male,https://www.larvalabs.com/public/images/cryptopunks/punk0416.png,Hoodie,,,Cigarette,,,,,,,,Smile,417,,,,2022-04-15T13:33:20Z,ETH,https://cryptoslam-token-images.s3.amazonaws.com/icons/cryptopunks-logo.png,CryptoPunks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,,0x83c8f28c26bf6aaca652df1dbbe0e1b56f8baba2,0x28a2febeba76a64546c39faa91dd6006139726a89cdbe819a5dc5a9ec61a2274,0x83C8F28c26bF6aaca652Df1DbBE0e1b56F8baBa2,0x83C8F28c26bF6aaca652Df1DbBE0e1b56F8baBa2,0x792570F2775700a2aD7F0a3a0a8D834491713Bf0,0x792570F2775700a2aD7F0a3a0a8D834491713Bf0,253.119995117188,750809.5625,https://live---metadata-5covpqijaa-uc.a.run.app/images/4960,4960,,,,,,,,,,,,,,,,,,,,,,2022-04-23T08:52:10,ETH,,,,,,#4960,https://live---metadata-5covpqijaa-uc.a.run.app/images/4960,Gray,Tranquil,brown,orig:6951,Relaxed,small,Halo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,,0x83c8f28c26bf6aaca652df1dbbe0e1b56f8baba2,0x28a2febeba76a64546c39faa91dd6006139726a89cdbe819a5dc5a9ec61a2274,0x83C8F28c26bF6aaca652Df1DbBE0e1b56F8baBa2,0x83C8F28c26bF6aaca652Df1DbBE0e1b56F8baBa2,0x4f3215bb59DbD3a868510ebc02971570778Aa360,0x4f3215bb59DbD3a868510ebc02971570778Aa360,253.119995117188,750809.5625,https://live---metadata-5covpqijaa-uc.a.run.app/images/3964,3964,,,,,,,,,,,,,,,,,,,,,,2022-04-23T08:52:10,ETH,,,,,,#3964,https://live---metadata-5covpqijaa-uc.a.run.app/images/3964,Yellow,Crescent,Green,orig:7535,Side-eye,Short,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
