rank,iconUrl,contractName,baseCurrency,isSalesOnly,value,valueUSD,platform,buyers,sellers,owners,transactions,changeInValueUSD,previousValue,previousValueUSD
1,https://cryptoslam-token-images.s3.amazonaws.com/icons/moonbirds.png,Moonbirds,ETH,false,53410.4418976998,161774998.17,0,1248,1390,0,1739,-43.9520247310126,95454.1354627218,288636649.93
2,https://d1nht67oz99wd1.cloudfront.net/resized/mutant-ape-yacht-club_resized.png,Mutant Ape Yacht Club,ETH,false,88774.4420079896,102020904.75,0,749,806,0,1031,185.566492249656,11918.1098885212,35725796.8
3,https://d1nht67oz99wd1.cloudfront.net/resized/BoredApeYachtClub_resized.ico,Bored Ape Yacht Club,ETH,false,907758.823511616,81929242.39,0,174,205,0,252,240.429149868818,7941.79332770966,24066459.18
4,https://d1nht67oz99wd1.cloudfront.net/rtfktmnlth.jpeg,RTFKT MNLTH,ETH,true,13192.370639,39219772.792886406,0,912,1006,1,1416,370.9813331874332,2759.942425,8327245.695166092
5,https://d1nht67oz99wd1.cloudfront.net/resized/bored-ape-kennel-club_resized.png,Bored Ape Kennel Club,ETH,false,14699.98637647,36968115.43,0,727,748,0,1130,806.409034041378,1348.24178640265,4078524.6
6,https://cryptoslam-token-images.s3.amazonaws.com/murakami.png,MurakamiFlowers Seed,ETH,true,11697.259342,35394499.62893174,0,1412,983,1,1796,-4.718672116554611,12589.657464,37147361.83381985
7,https://cryptoslam-token-images.s3.amazonaws.com/icons/VF2.png,VeeFriends Series 2,ETH,true,7081.43994555622,21119140.71,0,3525,3326,0,5385,202.102322909922,2327.84461291507,6990724.37
8,https://d1nht67oz99wd1.cloudfront.net/clonex.jpeg,CloneX,ETH,false,16639.8570490908,19907845.52,0,283,280,0,369,23.7362277310471,5320.04421006888,16088938.45
9,https://cryptoslam-token-images.s3.amazonaws.com/icons/akutars.png,Akutars,ETH,true,6535.32718497515,19369511.2,0,1097,1150,0,1784,,0,0
10,https://cryptoslam-token-images.s3.amazonaws.com/icons/eightbitme.png,EightBit,ETH,true,6300.22918369994,18516158.98,0,2878,3045,0,5990,7648.34214269364,79.0474150488153,238969.3
11,https://d1nht67oz99wd1.cloudfront.net/resized/cryptopunks-logo_resized.png,CryptoPunks,ETH,false,5970.09005,17962153.00850866,0,56,54,3576,81,11.329193005494007,5294.16291,16134270.377422247
12,https://d1nht67oz99wd1.cloudfront.net/az.png,Azuki,ETH,false,5489.52931903037,16513914.87,0,180,226,0,279,-11.4066302605768,56284.5737746386,18640125.01
13,https://cryptoslam-token-images.s3.amazonaws.com/beanz.jpg,Beanz,ETH,false,19995.1952297054,16323935.71,0,640,707,0,1084,2.00463664514333,5282.0938446708,16003131.08
14,https://cryptoslam-token-images.s3.amazonaws.com/icons/akutar.png,Akutar Mint Pass,ETH,true,4794.78059702087,14461349.15,0,1892,1759,0,3076,96.0381983698979,2439.69215521216,7376801.7
15,https://cryptoslam-token-images.s3.amazonaws.com/icons/theassociation.png,The Association NFT,ETH,true,4606.20219654951,13955151.42,0,6957,8596,0,16002,,0,0
16,https://cryptoslam-token-images.s3.amazonaws.com/icons/doodles.jpg,Doodles,ETH,false,25116.6879099339,12371300.94,0,167,214,0,320,38.9727017971255,2931.60542121017,8901964.76
17,https://d1nht67oz99wd1.cloudfront.net/resized/meebits_resized.png,Meebits,ETH,false,3957.43917989731,11321626.6,0,453,415,0,593,162.839623086879,1426.66423535347,4307427.65
18,https://cryptoslam-token-images.s3.amazonaws.com/icons/boredapecc.jpeg,Bored Ape Chemistry Club,ETH,false,3142.0388,9463107.808616325,0,59,47,0,64,219.7101137483875,985.82235,2959902.5497403597
19,https://cryptoslam-token-images.s3.amazonaws.com/icons/cryptokicks.png,MNLTHRVLD,ETH,false,3174.67984415032,9369167.25,0,686,520,0,960,,0,0
20,https://cryptoslam-token-images.s3.amazonaws.com/monolith.png,Rtfkt Nike x Monolith,ETH,true,2977.917293,8782926.224215157,0,508,351,1,618,,0,0
21,https://cryptoslam-token-images.s3.amazonaws.com/icons/proof1.png,PROOF Collective,ETH,false,2803.69237590767,8454877.08,0,30,28,0,30,58.0603046461026,1760.17999160755,5349146.39
22,https://cryptoslam-token-images.s3.amazonaws.com/icons/anata.png,Anata NFT,ETH,false,2846.9805021286,8368657.97,0,328,339,0,501,,0,0
23,https://cryptoslam-token-images.s3.amazonaws.com/muri.jpeg,MURI,ETH,false,2795.85913310945,8277870.98,0,938,1048,0,1394,585.84697252875,398.386000259779,1206955.97
24,https://cryptoslam-token-images.s3.amazonaws.com/evox.png,MNLTHSKIN,ETH,true,2674.1043721,7898688.350843253,0,627,531,1,902,,0,0
25,https://cryptoslam-token-images.s3.amazonaws.com/icons/cryptoads.jpg,CrypToadz,ETH,false,2271.733721,6880215.991549833,0,474,476,4232,582,152.79726647639592,899.136273,2721633.856033902
26,https://cryptoslam-token-images.s3.amazonaws.com/artofseason.jpg,The Art of Seasons,ETH,false,2202.79194373358,6637182.28,0,750,916,0,1421,76.8899742249042,1235.87409088016,3752152.89
27,https://d1nht67oz99wd1.cloudfront.net/resized/cool-cats_resized.ico,Cool Cats,ETH,false,2172.22594335955,6601574.5,0,258,245,0,298,-17.1965760501425,17527.8937453443,7972586.38
28,https://cryptoslam-token-images.s3.us-east-1.amazonaws.com/icons/crabada2.png,Crabada,AVAX,false,152642725.992188,6211900.12,11,2635,1057,0,16749,-21.8023897370004,158208522.007812,7943849.05
29,https://cryptoslam-token-images.s3.amazonaws.com/ugly.png,Ugly People,ETH,true,2062.07619981468,6025331.8,0,4428,3250,0,6891,,0,0
30,https://cryptoslam-token-images.s3.amazonaws.com/icons/creyzies.png,CREYZIES,ETH,false,1931.374717094,5950341.6,0,2070,2293,0,4251,,0,0
